"ptrid","resultid","offsetcount","moduleid","moduleoffset","offset1","offset2","offset3","offset4","offset5","offset6","offset7"
"1","16121","7","48","63048656","1256","24","664","1224","3360","64","144"
"1","16122","7","48","64359312","1256","24","664","1224","3360","64","144"
"1","16123","7","48","60369824","3080","24","200","120","312","400","144"
"1","16124","7","48","60369824","3080","24","488","120","312","392","144"
"1","16125","7","48","60369824","3080","24","488","120","760","400","144"
"1","16126","7","48","60369824","3080","24","488","440","312","408","144"
"1","16127","7","48","60369824","3080","24","488","440","760","424","144"
"1","16128","7","48","60369824","3080","24","488","440","1208","440","144"
"1","16129","7","48","60369824","3080","24","488","760","312","416","144"
"1","16130","7","48","60369824","3080","24","488","760","760","408","144"
"1","16131","7","48","60369824","3080","24","488","760","1208","424","144"
"1","16132","7","48","60369824","3080","24","776","120","312","408","144"
"1","16133","7","48","60369824","3080","24","776","120","760","424","144"
"1","16134","7","48","60369824","3080","24","776","120","1208","440","144"
"1","16135","7","48","60369824","3080","24","776","440","312","416","144"
"1","16136","7","48","60369824","3080","24","776","440","760","408","144"
"1","16137","7","48","60369824","3080","24","776","440","1208","424","144"
"1","16138","7","48","60369824","3080","24","776","760","312","432","144"
"1","16139","7","48","60369824","3080","152","200","120","312","392","144"
"1","16140","7","48","60369824","3080","152","200","120","760","400","144"
"1","16141","7","48","60369824","3080","152","200","440","312","408","144"
"1","16142","7","48","60369824","3080","152","200","440","760","424","144"
"1","16143","7","48","60369824","3080","152","200","440","1208","440","144"
"1","16144","7","48","60369824","3080","152","200","760","312","416","144"
"1","16145","7","48","60369824","3080","152","200","760","760","408","144"
"1","16146","7","48","60369824","3080","152","200","760","1208","424","144"
"1","16147","7","48","60369824","3080","152","488","120","312","408","144"
"1","16148","7","48","60369824","3080","152","488","120","760","424","144"
"1","16149","7","48","60369824","3080","152","488","120","1208","440","144"
"1","16150","7","48","60369824","3080","152","488","440","312","416","144"
"1","16151","7","48","60369824","3080","152","488","440","760","408","144"
"1","16152","7","48","60369824","3080","152","488","440","1208","424","144"
"1","16153","7","48","60369824","3080","152","488","760","312","432","144"
"1","16154","7","48","60369824","3080","152","776","120","312","416","144"
"1","16155","7","48","60369824","3080","152","776","120","760","408","144"
"1","16156","7","48","60369824","3080","152","776","120","1208","424","144"
"1","16157","7","48","60369824","3080","152","776","440","312","432","144"
"1","16158","7","48","60369824","3080","152","776","760","312","440","144"
"1","16159","7","48","60369824","3080","152","776","760","760","432","144"
"1","16160","7","48","60369824","3432","152","200","120","312","360","144"
"1","16161","7","48","60369824","3432","152","200","120","760","352","144"
"1","16162","7","48","60369824","3432","152","200","440","312","368","144"
"1","16163","7","48","60369824","3432","152","200","440","760","360","144"
"1","16164","7","48","60369824","3432","152","200","440","1208","352","144"
"1","16165","7","48","60369824","3432","152","200","760","312","336","144"
"1","16166","7","48","60369824","3432","152","200","760","760","456","144"
"1","16167","7","48","60369824","3432","152","200","760","1208","448","144"
"1","16168","7","48","60369824","3432","152","488","120","312","368","144"
"1","16169","7","48","60369824","3432","152","488","120","760","360","144"
"1","16170","7","48","60369824","3432","152","488","120","1208","352","144"
"1","16171","7","48","60369824","3432","152","488","440","312","336","144"
"1","16172","7","48","60369824","3432","152","488","440","760","456","144"
"1","16173","7","48","60369824","3432","152","488","440","1208","448","144"
"1","16174","7","48","60369824","3432","152","488","760","312","344","144"
"1","16175","7","48","60369824","3432","152","488","760","760","336","144"
"1","16176","7","48","60369824","3432","152","488","760","1208","456","144"
"1","16177","7","48","60369824","3400","152","488","120","312","360","144"
"1","16178","7","48","60369824","3400","152","488","120","760","352","144"
"1","16179","7","48","60369824","3400","152","488","440","312","368","144"
"1","16180","7","48","60369824","3400","152","488","440","760","360","144"
"1","16181","7","48","60369824","3400","152","488","440","1208","352","144"
"1","16182","7","48","60369824","3400","152","488","760","312","336","144"
"1","16183","7","48","60369824","3400","152","488","760","760","456","144"
"1","16184","7","48","60369824","3400","152","488","760","1208","448","144"
"1","16185","7","48","60369824","3400","152","776","120","312","368","144"
"1","16186","7","48","60369824","3400","152","776","120","760","360","144"
"1","16187","7","48","60369824","3400","152","776","120","1208","352","144"
"1","16188","7","48","60369824","3400","152","776","440","312","336","144"
"1","16189","7","48","60369824","3400","152","776","440","760","456","144"
"1","16190","7","48","60369824","3400","152","776","440","1208","448","144"
"1","16191","7","48","60369824","3400","152","776","760","312","344","144"
"1","16192","7","48","60369824","3400","152","776","760","760","336","144"
"1","16193","7","48","60369824","3400","152","776","760","1208","456","144"
"1","16194","7","48","60145960","392","208","136","40","184","0","144"
"1","16195","7","48","60145960","392","208","136","40","184","40","144"
"1","16196","7","48","60145960","392","176","136","40","184","0","144"
"1","16197","7","48","60145960","392","176","136","40","184","40","144"
"1","16198","7","48","59804360","392","32","136","8","184","0","144"
"1","16199","7","48","59804360","392","32","136","8","184","40","144"
"1","16200","7","48","59804360","392","32","136","8","184","80","144"
"1","16201","7","48","59804360","392","32","136","8","184","120","144"
"1","16202","7","48","60145960","392","32","136","40","184","0","144"
"1","16203","7","48","60145960","392","32","136","40","184","40","144"
"1","16204","7","48","60145960","392","64","136","40","184","0","144"
"1","16205","7","48","60145960","392","64","136","40","184","40","144"
"1","16206","7","48","63048656","392","224","120","32","112","320","144"
"1","16207","7","48","64359312","392","224","120","32","112","320","144"
"1","16208","7","48","63048656","392","224","120","32","112","352","144"
"1","16209","7","48","64359312","392","224","120","32","112","352","144"
"1","16210","7","4","30038184","392","40","272","184","16","328","144"
"1","16211","7","4","30038184","392","40","80","408","0","328","144"
"1","16212","7","4","30038184","392","96","184","16","328","3168","144"
"1","16213","7","4","30038184","392","40","80","16","328","3472","144"
"1","16214","7","4","30038184","392","40","80","16","328","3872","144"
"1","16215","7","4","30038184","392","96","184","16","328","3904","144"
"1","16216","7","48","62499400","392","32","112","208","216","224","144"
